يا أول,Ya Evvel
يا إله,Ya İlah
يا منان,Ya Mennan
يا الله,Ya Allah
يا مولى,Ya Mevla
يا ولي,Ya Veli
يا والي,Ya Vali
يا تام,Ya Tam
يا نور,Ya Nur
يا بر,Ya Ber
يا مؤمن,Ya Mumin
يا رب,Ya Rab
يا بالي,Ya Bali
يا بار,Ya Ber
يا مُبلي,Ya Muballi
يا منير,Ya Munir
يا مبين,Ya Mubin
يا وهّاب,Ya Vehhab
يا متين,Ya Metin
يا وتر,Ya Vitr
يا مهيمن,Ya Muheymin
يا مميت,Ya Mumit
يا بارئ,Ya Bari
يا مُبرم,Ya Mubrim
يا تواب,Ya Tevvab
يا ملك,Ya Melik
يا كامل,Ya Kamil
يا مالك,Ya Malik
يا برهان,Ya Burhan
يا كائن,Ya Kain
يا مبتلي,Ya Mubtali
يا مليك,Ya Melik
يا أكرم,Ya Ekrem
يا وكيل,Ya Vekil
يا أعلى,Ya A’la
يا علام,Ya A’lam
يا أعلم,Ya A’lem
يا عالم,Ya A’lem
يا علي,Ya Ali
يا أكبر,Ya Ekber
يا كريم,Ya Kerim
يا مانع,Ya Mani’
يا كاتب,Ya Katib
يا منعم,Ya Muni’m
يا متم نوره,Ya Mutimme Nuruhi
يا عليم,Ya Alim
يا ولي المؤمنين,Ya Veliy’ul Muminin
يا كبير,Ya Kebir
يا معين,Ya Muin
يا متعالِ,Ya Mute’al
يا متكبّر,Ya Mutekebbir
يا نعم المولى,Ya Ni’mel Mevla
يا وافي,Ya Vafi
يا فاتن,Ya Fettan
يا مالك الملك,Ya Malik’el Mulk
يا أقوى,Ya Akva
يا رؤوف,Ya Rauf
يا قيم,Ya Kıyemu
يا قوي,Ya Kavi
يا قيام,Ya Kıyam
يا قائم,Ya Kaim
يا واقي,Ya Vaki
يا قيوم,Ya Kayyum
يا باقي,Ya Baki
يا قهّار,Ya Kahhar
يا قاهر,Ya Kahir
يا كافي,Ya Kafi
يا سلام,Ya Selam
يا أقرب,Ya Akreb
يا كفيل,Ya Kefil
يا مُقيت,Ya Mukit
يا منتقم,Ya Muntakim
يا فاعل,Ya Fail
يا قريب,Ya Karib
يا رقيب,Ya Rakib
يا مرسِل,Ya Mursil
يا نافع,Ya Nafi’
يا عفو,Ya Afuv
يا أهل التقوى,Ya Ehl’it Takva
يا رافع,Ya Rafi’
يا ستار,Ya Settar
يا ديان,Ya Deyyan
يا أبد,Ya Ebed
يا معافي,Ya Muafi
يا دائم,Ya Daim
يا هادي,Ya Hadi
يا رفيع,Ya Rafiy’u
يا دهر,Ya Dehr
يا مذل,Ya Muzil
يا بادئ,Ya Bedi’
يا مريد,Ya Murid
يا قابل التوب,Ya Kabil’et Tevb
يا مبدئ,Ya Mubdi
يا مدبر,Ya Mudebbir
يا منذر,Ya Munzir
يا سامع,Ya Sami’
يا حي,Ya Hay
يا واسع,Ya Vasi’a
يا ذارئ,Ya Zari
يا حنان,Ya Hannan
يا نذير,Ya Nezir
يا موسع,Ya Musi’
يا سميع,Ya Semi’
يا عدل,Ya Adl
يا حليم,Ya Halim
يا حييّ,Ya Hayyi
يا مسعَّر,Ya Musa’ar
يا محب,Ya Muhib
يا رفيق,Ya Refik
يا سريع,Ya Seri’
يا رحمن,Ya Rahman
يا محيي,Ya Muhyi
يا نعم القاهر,Ya Ni’mel Kahir
يا مستعان,Ya Mustea’n
يا مستمع,Ya Mustem’i
يا رحيم,Ya Rahim
يا جليل,Ya Celil
يا معيد,Ya Muiyd
يا ممتحن,Ya Mumettahin
يا جميل,Ya Cemil
يا حكم,Ya Hakem
يا أحكم,Ya Ahkem
يا بديع,Ya Bediy’u
يا حاكم,Ya Hakim
يا مذكور,Ya Mezkur
يا جبار,Ya Cebbar
يا فرد,Ya Ferd
يا معبود,Ya Mabud
يا مجيب,Ya Mucib
يا حكيم,Ya Hakim
يا نعم الماهد,Ya Ni’mel Mahid
يا مقدم,Ya Mukaddim
يا قادر,Ya Kadir
يا قديم,Ya Kadim
يا مقدر,Ya Mukaddir
يا قدير,Ya Kadir
يا مقلب القلوب,Ya Mukallib’el Kulub
يا جامع,Ya Cami’
يا حفي,Ya Hafi
يا سيد,Ya Seyyid
يا حق,Ya Hak
يا دافع,Ya Dafi’
يا فاتح,Ya Fatih
يا فتاح,Ya Fettah
يا مقتدر,Ya Muktedir
يا ودود,Ya Vedud
يا ذو القوة,Ya Zu’l Kuvve(t)
يا مفرج,Ya Muferric
يا محسن,Ya Muhsin
يا ذو الإنتقام,Ya Zu’n tikam
يا محسان,Ya Muhassen
يا حاسب,Ya Hasib
يا أحد,Ya Ehad
يا فارج الهم,Ya Faric’el Hem
يا سبوح,Ya Subbuh
يا حسيب,Ya Hasib
يا واحد,Ya Vahid
يا نعم القادر,Ya Ni’mel Kadir
يا فعال لما يريد,Ya Faale lima Yurid
يا حميد,Ya Hamid
يا ماجد,Ya Macid
يا جواد,Ya Cevad
يا اجود,Ya Ecved
يا واجد,Ya Vacid
يا مجيد,Ya Mecid
يا قدّوس,Ya Kuddüs
يا عدو الكافرين,Ya Aduv’el Kafirin
يا آخر,Ya Ahir
يا فالق الحب والنوى,Ya Falik’el Hubbe ven’Neva
يا أرحم الراحمين,Ya Erham’er Rahimin
يا مؤخر,Ya Muahhir
يا خبير,Ya Habir
يا جاعل الليل سكناً,Ya Ca’il’el Leyle Sekene
يا ذو المعارج,Ya Zu’l Mearic
يا ذو الجلال والإكرام,Ya Zu’l Celali vel İkram
يا أحكم الحاكمين,Ya Ahkem’il Hakimin
يا خالق,Ya Halik
يا خلاق,Ya Hallak
يا خير الماكرين,Ya Hayr’al Makirin
يا سريع الحساب,Ya Seri’ul Hisab
يا ذو الجبروت والملكوت,Ya Zu’l Ceberruti vel Melekut
يا أسرع الحاسبين,Ya Esre’al Hasibin
يا رفيع الدرجات,Ya Rafiyy’ad Derecat
يا ذو الرحمة الواسعة,Ya Zu’r Rahmet’il Vasia’
يا منشئ,Ya Munşi
يا خير الراحمين,Ya Hayr’ar Rahimin
يا شاكر,Ya Şakir
يا شكور,Ya Şekur
يا خير الحاكمين,Ya Hayr’al Hakimin
يا شافي,Ya Şafi
يا كاشف,Ya Kaşif
يا خير الفاتحين,Ya Hayr’al Fatihin
يا شاهد,Ya Şahid
يا راشد,Ya Raşid
يا شهيد,Ya Şehid
يا رشيد,Ya Reşid
يا كاشف الكرب,Ya Kaşif’el Kurab
يا ناصر,Ya Nasir
يا مصور,Ya Musavvir
يا نصير,Ya Nasir
يا أحسن الخالقين,Ya Ahsen’il Halikin
يا صبور,Ya Sabur
يا بصير,Ya Basir
يا صانع,Ya Sani
يا مخرج الحي من الميت,Ya Muhric’el Hayye min’el Meyyit
يا مخرج الميت من الحي,Ya Muhric’el Meyyite min’el Hay
يا شديد,Ya Şedid
يا صمد,Ya Samed
يا محصي,Ya Muhsi
يا صاحب,Ya Sahib
يا ضار,Ya Dar
يا رضا,Ya Rıda
يا صادق,Ya Sadık
يا مفضل,Ya Mufaddıl
يا شديد المحال,Ya Şedid’el Mihal
يا قاضي,Ya Kadi
يا قابض,Ya Kabıd
يا فالق الإصباح,Ya Falik’el Esbah
يا مُنزل,Ya Munzil
يا ذو العرش المجيد,Ya Zu’l Arş’il Mecid
يا نور السماوات والأرض,Ya Nur’us Semavati vel Ard
يا أعز,Ya Azze
يا معز,Ya Muiz
يا خير الناصرين,Ya Hayr’an Nasırin
يا منزل الكتاب,Ya Munzil’el Kitab
يا رازق,Ya Razık
يا رزاق,Ya Rezzak
يا خير الفاصلين,Ya Hayr’al Fasılin
يا وارث,Ya Varis
يا باعث,Ya Bais
يا خافض,Ya Hafıd
يا طالب,Ya Talib
يا باطن,Ya Batın
يا طهر,Ya Tahir
يا طيب,Ya Tayyib
يا طبيب,Ya Tabib
يا خير المنزلين,Ya Hayr’al Munzilin
يا مُطعم,Ya Muta’me
يا معطي,Ya Muati
يا لطيف,Ya Latif
يا فاطر,Ya Fatır
يا باسط,Ya Basıt
يا كاشف الضر,Ya Kaşif’ed Dur
يا خير الرازقين,Ya Hayr’ar Razıkin
يا مخزي الكافرين,Ya Muhzi’el Kafirin
يا محيط,Ya Muhiyt
يا غني,Ya Gani
يا مغني,Ya Muğni
يا مقسط,Ya Muksit
يا غيور,Ya Gayyur
يا البالغ أمره,Ya Baliğu Emrih
يا خير الوارثين,Ya Hayr’al Varisin
يا غفار,Ya Gaffar
يا غافر,Ya Gafir
يا غفور,Ya Gafur
يا علام الغيوب,Ya Allam’ul Guyub
يا غالب على أمره,Ya Galibu ala Emrih
يا أهل المغفرة,Ya Ehl’el Mağfirah
يا ظاهر,Ya Zahir
يا أعظم,Ya A’zam
يا عظيم,Ya Azim
يا غافر الذنب,Ya Gafir’ez Zenbi
يا واسع المغفرة,Ya Vasi’al Mağfirah
يا ذو الطول والإحسان,Ya Zu’t Tavli vel İhsan
يا سخط,Ya Sahut
يا حافظ,Ya Hafız
يا حفيظ,Ya Hafiz
يا خير الغافرين,Ya Hayr’al Gafirin
يا عزيز,Ya Aziz
يا عالم الغيب والشهادة,Ya A’lim’ul Gaybe veş Şehadeh
يا خير الحافظين,Ya Hayr’al Hafızin
يا مبغض,Ya Mubağdu
